WCR Number,ScreenTopDepth_ft,ScreenBottomDepth_ft,WeatheredBedrockDepth_ft,BedrockDepth_ft,BedrockType_WellScreen,PLSS MTRS,WCR Links
WCR0246637,137,217,110,110,hard sandy gray conglomerate w soft streaks/hard gray sandstone rock/sandy gray shale rock,M14N14W20,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W20_03083.pdf
WCR0137270,325,360,30,30,sandstone/green sandy clay/blue sand,M14N14W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W21_084562.pdf
WCR2003-002480,60,140,19,54,highly fractured gray sandstone/gray and brown shale clay with seams of gray rock,M14N14W21,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W21_769951.pdf
WCR1990-001224,98,198,26,34,gray shale/gray sandy rock,M14N14W22,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W22_211220.pdf
WCR2002-006170,90,170,18,68,sandystone/shale w clay,M14N14W23,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W23_806939.pdf
WCR2001-005411,60,135,18,18,soft sandstone/hard fractured sandstone/shale w clay,M14N16W28,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W28_762454.pdf
WCR1998-005750,80,200,180,180,shale,M14N14W28,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W28_814084.pdf
WCR0110133,80,220,21,70,shale/sandstone,M14N14W28,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W28E_236890.pdf
WCR2008-003777,40,300,30,30,brown clay with cemented gravel/blue clay/sandstone w clay,M14N14W34,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W34_E0083504.pdf
WCR1996-000149,42,102,2,2,highly fractured gray sandy rock/shaley clay,M14N14W36,https://fte.water.ca.gov/owncloud/index.php/s/M6wVTjROhqucdsB/download?path=%2FMendocino%20County%2F14N14W%2F&files=14N14W36_392983.pdf
