"SegNum","frac_depletion","WellNum","time_days","dist_wellToStream_m","Tr_bulk_m2d","S_bulk","lmda_m2d"
220,0.115,413,18143,1202.435,64.557,0.271,93.978
321,0.019,413,18143,5451.688,58.829,0.272,99.266
324,0.012,413,18143,6522.173,26.697,0.271,65.036
11,0.085,414,258,2536.227,40.02,0.27,76.941
12,0.244,414,258,1725.66,36.159,0.27,96.655
13,0.072,414,258,2798.917,41.44,0.27,104.752
217,0.025,414,258,5190.512,16.248,0.27,94.259
219,0.33,414,258,1071.915,31.692,0.27,89.491
220,0.244,414,258,1081.148,18.567,0.272,93.978
11,0.085,414,3543,2536.227,40.02,0.27,76.941
12,0.244,414,3543,1725.66,36.159,0.27,96.655
13,0.072,414,3543,2798.917,41.44,0.27,104.752
217,0.025,414,3543,5190.512,16.248,0.27,94.259
219,0.33,414,3543,1071.915,31.692,0.27,89.491
220,0.244,414,3543,1081.148,18.567,0.272,93.978
10,0.021,414,18143,4564.627,36.432,0.27,66.86
11,0.065,414,18143,2536.227,40.02,0.27,76.941
12,0.188,414,18143,1725.66,36.159,0.27,96.655
13,0.055,414,18143,2798.917,41.44,0.27,104.752
14,0.013,414,18143,5100.36,45.617,0.27,105.991
93,0.011,414,18143,4503.223,33.313,0.27,98.509
94,0.028,414,18143,3628.869,36.336,0.27,100.525
95,0.086,414,18143,3367.946,34.905,0.27,107.649
177,0.012,414,18143,5869.415,16.314,0.27,60.031
178,0.015,414,18143,5750.095,20.397,0.271,67.19
217,0.019,414,18143,5190.512,16.248,0.27,94.259
219,0.254,414,18143,1071.915,31.692,0.27,89.491
220,0.188,414,18143,1081.148,18.567,0.272,93.978
221,0.015,414,18143,3284.344,23.763,0.281,103.763
321,0.029,414,18143,4899.659,23.667,0.27,99.266
11,0.079,415,258,2266.341,25.222,0.27,76.941
12,0.561,415,258,936.031,11.851,0.27,96.655
13,0.105,415,258,1846.263,9.954,0.271,104.752
219,0.117,415,258,1702.018,31.023,0.27,89.491
220,0.138,415,258,1664.088,37.036,0.27,93.978
11,0.078,415,3543,2266.341,25.222,0.27,76.941
12,0.555,415,3543,936.031,11.851,0.27,96.655
13,0.104,415,3543,1846.263,9.954,0.271,104.752
219,0.116,415,3543,1702.018,31.023,0.27,89.491
220,0.136,415,3543,1664.088,37.036,0.27,93.978
221,0.011,415,3543,3377.442,40.734,0.27,103.763
10,0.018,415,18143,4574.152,32.428,0.27,66.86
11,0.06,415,18143,2266.341,25.222,0.27,76.941
12,0.426,415,18143,936.031,11.851,0.27,96.655
13,0.08,415,18143,1846.263,9.954,0.271,104.752
14,0.014,415,18143,4369.355,11.633,0.27,105.991
15,0.016,415,18143,5604.878,89.453,0.27,83.884
94,0.015,415,18143,4628.259,50.285,0.27,100.525
95,0.051,415,18143,4193.632,56.769,0.27,107.649
177,0.017,415,18143,5168.047,47.618,0.27,60.031
178,0.019,415,18143,5009.999,43.507,0.27,67.19
217,0.012,415,18143,6072.4,33.727,0.27,94.259
219,0.089,415,18143,1702.018,31.023,0.27,89.491
220,0.104,415,18143,1664.088,37.036,0.27,93.978
221,0.012,415,18143,3377.442,40.734,0.27,103.763
318,0.011,415,18143,7044.848,23.088,0.27,62.994
321,0.029,415,18143,4494.677,51.178,0.27,99.266
322,0.013,415,18143,5858.569,82.21,0.272,89.571
324,0.014,415,18143,6181.236,42.148,0.27,65.036
169,0.058,416,258,2195.307,20.108,0.27,60.932
170,0.547,416,258,753.8,9.371,0.27,66.923
171,0.145,416,258,1305.056,30.528,0.274,86.945
280,0.057,416,258,1944.758,31.083,0.271,68.15
281,0.071,416,258,1849.988,22.34,0.271,70.383
282,0.102,416,258,2025.225,11.229,0.279,94.139
289,0.019,416,258,3577.611,18.233,0.27,89.053
169,0.052,416,3543,2195.307,20.108,0.27,60.932
170,0.487,416,3543,753.8,9.371,0.27,66.923
171,0.129,416,3543,1305.056,30.528,0.274,86.945
192,0.026,416,3543,3986.456,26.383,0.27,57.095
278,0.033,416,3543,3672.867,54.981,0.271,69.038
280,0.051,416,3543,1944.758,31.083,0.271,68.15
281,0.064,416,3543,1849.988,22.34,0.271,70.383
282,0.091,416,3543,2025.225,11.229,0.279,94.139
283,0.01,416,3543,3882.43,13.62,0.272,93.733
285,0.016,416,3543,4244.227,48.165,0.277,83.426
287,0.025,416,3543,3660.07,30.664,0.279,71.061
289,0.017,416,3543,3577.611,18.233,0.27,89.053
169,0.05,416,18143,2195.307,20.108,0.27,60.932
170,0.466,416,18143,753.8,9.371,0.27,66.923
171,0.124,416,18143,1305.056,30.528,0.274,86.945
192,0.024,416,18143,3986.456,26.383,0.27,57.095
262,0.012,416,18143,6927.458,36.154,0.284,93.412
277,0.019,416,18143,5290.979,50.522,0.27,53.74
278,0.032,416,18143,3672.867,54.981,0.271,69.038
280,0.048,416,18143,1944.758,31.083,0.271,68.15
281,0.061,416,18143,1849.988,22.34,0.271,70.383
282,0.087,416,18143,2025.225,11.229,0.279,94.139
285,0.022,416,18143,4244.227,48.165,0.277,83.426
287,0.024,416,18143,3660.07,30.664,0.279,71.061
289,0.016,416,18143,3577.611,18.233,0.27,89.053
444,0.015,416,18143,6303.989,112.318,0.271,81.217
170,0.179,417,258,1700.541,31.39,0.27,66.923
171,0.117,417,258,2015.404,71.469,0.274,86.945
280,0.113,417,258,1492.616,25.566,0.273,68.15
