"SegNum","stream_elev_m","stream_dtb_m","stream_width_m","WellNum","well_elev_m","well_screenTopDepth_m","well_screenBotDepth_m","well_wte_m","well_dtb_m","dist_wellToStream_m","mu_well_m","mf_well_m","mu_stream_m","mf_stream_m","Tr_well_m2d","Tr_stream_m2d","Tr_bulk_m2d","S_well","S_stream","S_bulk","lmda_m2d"
271,176.36,4.648,9.812,417,78.809,11.222,45.522,67.587,11.067,4988.896,0,143.073,4.648,138.426,39.091,1844.822,45.847,0.27,0.273,0.27,82.087
277,109.258,8.127,11.232,417,260.864,104.448,138.748,156.415,5.402,5092.423,0,47.158,8.127,4.731,12.884,3160.897,23.277,0.27,0.321,0.272,53.74
278,138.31,6.192,10.995,417,158.848,18.823,53.123,140.025,4.659,3112.336,0,34.3,6.192,26.393,9.371,2414.66,39.147,0.27,0.285,0.272,69.038
279,154.139,5.716,10.756,417,297.05,132.219,166.519,164.831,4.316,2747.517,0,34.3,5.716,17.892,9.371,2227.233,24.591,0.27,0.289,0.273,73.16
280,168.309,6.052,10.608,417,317.391,144.043,178.343,173.347,4.174,1488.137,0,34.3,6.052,23.21,9.371,2359.231,25.566,0.27,0.287,0.273,68.15
281,187.329,5.789,10.479,417,423.951,242.194,276.494,181.757,3.799,1120.429,0,39.871,5.789,34.083,10.894,2259.999,32.187,0.27,0.282,0.274,70.383
282,230.616,4.273,10.346,417,545.764,356.313,390.613,189.451,3.614,1120.429,0,75.465,4.273,71.192,20.619,1680.856,41.612,0.27,0.275,0.281,94.139
283,275.965,4.222,10.179,417,457.41,262.249,296.549,195.161,4.11,3067.156,0,115.105,4.222,110.882,31.449,1671.94,40.978,0.27,0.273,0.275,93.733
284,279.785,4.37,10.068,417,560.665,361.149,395.449,199.516,4.692,3575.498,0,114.569,4.37,110.199,31.303,1729.234,44.317,0.27,0.273,0.277,89.573
285,352.54,4.616,9.905,417,429.298,206.175,240.475,223.122,5.475,3575.498,0,163.717,4.616,159.102,44.731,1838.154,75.91,0.27,0.272,0.287,83.426
286,464.197,5.362,9.828,417,287.593,66.836,101.136,220.757,6.403,5975.535,0,277.74,5.362,272.378,75.884,2159.083,173.983,0.27,0.272,0.289,71.269
287,191.352,5.375,9.824,417,323.729,109.67,143.97,214.06,6.528,2889.693,0,34.3,5.375,6.218,9.371,2091.458,11.568,0.27,0.307,0.272,71.061
288,299.402,4.194,9.809,417,244.08,42.109,76.409,201.971,5.245,3660.503,0,131.731,4.194,127.537,35.992,1665.368,53.923,0.27,0.273,0.28,90.941
289,300.321,4.31,9.872,417,405.761,195.135,229.435,210.626,4.46,3118.329,0,123.995,4.31,119.685,33.878,1708.437,50.692,0.27,0.273,0.277,89.053
444,360.972,4.854,10.14,417,358.077,162.037,196.337,196.04,4.889,6722.288,0,199.232,4.854,194.378,54.434,1940.409,63.817,0.27,0.272,0.274,81.217
483,402.074,5.155,9.924,417,688.506,402.956,437.256,285.551,5.097,6871.211,0,150.824,5.155,145.669,41.208,2043.918,56.255,0.27,0.273,0.279,74.855
108,87.243,7.096,12.183,418,632.137,378.087,412.387,254.05,11.217,7012.038,0,166.807,7.096,125.411,45.575,2793.2,46.132,0.27,0.274,0.27,66.753
109,126.069,5.943,11.813,418,458.708,204.319,238.619,254.389,8.998,6998.332,0,128.321,5.943,88.078,35.06,2334.62,35.534,0.27,0.275,0.27,77.287
168,176.3,7.235,10.51,418,474.408,195.535,229.835,278.874,5.488,6313.708,0,102.573,7.235,61.038,28.025,2829.787,30.183,0.27,0.278,0.27,56.477
169,200.237,6.475,10.147,418,455.797,179.542,213.842,276.256,5.027,4096.378,0,76.019,6.475,35.244,20.77,2527.012,22.087,0.27,0.282,0.27,60.932
170,243.547,5.84,10.051,418,833.002,566.963,601.263,266.039,11.413,2677.397,0,34.3,5.84,5.968,9.371,2272.033,10.356,0.27,0.31,0.273,66.923
171,311.063,4.418,9.88,418,659.715,393.536,427.836,266.18,9.153,2897.541,0,79.183,4.418,74.765,21.635,1738.137,30.263,0.27,0.274,0.281,86.945
182,117.366,6.408,10.101,418,497.531,224.013,258.313,273.517,4.93,5897.976,0,156.151,6.408,115.443,42.664,2522.907,43.393,0.27,0.274,0.27,61.29
183,158.292,4.695,9.977,418,552.802,284.362,318.662,268.44,4.759,4531.986,0,110.148,4.695,71.153,30.095,1844.862,30.764,0.27,0.275,0.27,82.624
192,202.052,6.828,10.027,418,380.259,105.424,139.724,274.835,6.214,5985.392,0,72.783,6.828,31.655,19.886,2663.417,21.392,0.27,0.284,0.271,57.095
259,234.909,3.024,10.43,418,133.891,95.108,129.408,38.783,11.915,6194.47,0,230.426,3.024,227.402,62.957,1237.811,68.832,0.27,0.271,0.27,134.109
260,250.788,3.021,10.37,418,103.535,77.478,111.778,26.056,12.144,5761.302,0,259.031,3.021,256.01,70.773,1244.646,78.059,0.27,0.271,0.271,133.44
261,266.497,3.394,10.316,418,49.119,34.398,68.698,14.721,11.708,5134.783,0,286.077,3.394,282.683,78.162,1396.714,87.217,0.27,0.271,0.271,118.186
262,335.804,4.248,10.206,418,131.068,104.565,138.865,26.503,9.72,5132.949,0,343.6,4.248,339.352,93.879,1744.397,128.453,0.27,0.271,0.274,93.412
263,432.606,4.704,9.88,418,217.878,173.664,207.964,44.215,8.442,6455.514,0,422.691,4.704,417.987,115.488,1943.284,225.686,0.27,0.271,0.282,81.653
264,181.051,5.811,9.942,418,252.078,184.682,218.982,67.395,8.336,6246.489,0,147.956,5.811,142.144,40.425,2298.264,48.38,0.27,0.273,0.27,66.514
265,282.637,4.614,9.833,418,268.687,205.872,240.172,62.815,9.7,4967.24,0,254.122,4.614,249.508,69.431,1862.144,76.346,0.27,0.271,0.271,82.856
271,176.36,4.648,9.812,418,147.613,113.364,147.664,34.25,8.697,4354.2,0,176.41,4.648,171.762,48.199,1853.931,54.644,0.27,0.272,0.27,82.087
277,109.258,8.127,11.232,418,195.604,156.482,190.782,39.122,9.275,5086.423,0,104.435,8.127,96.309,28.534,3185.918,61.652,0.27,0.276,0.271,53.74
278,138.31,6.192,10.995,418,81.058,52.945,87.245,28.113,11.4,2812.556,0,144.497,6.192,138.305,39.479,2445.237,74.593,0.27,0.273,0.271,69.038
279,154.139,5.716,10.756,418,95.506,73.713,108.013,21.792,11.661,2446.035,0,166.647,5.716,160.931,45.531,2266.314,68.856,0.27,0.273,0.271,73.16
280,168.309,6.052,10.608,418,134.883,109.527,143.827,25.356,10.579,1633.298,0,177.253,6.052,171.201,48.429,2399.666,72.297,0.27,0.273,0.271,68.15
281,187.329,5.789,10.479,418,209.08,155.868,190.168,53.211,8.404,653.196,0,168.417,5.789,162.628,46.015,2295.12,66.302,0.27,0.273,0.27,70.383
282,230.616,4.273,10.346,418,355.596,278.03,312.33,77.566,6.587,302.83,0,187.35,4.273,183.077,51.188,1711.425,76.512,0.27,0.272,0.273,94.139
283,275.965,4.222,10.179,418,144.249,64.635,98.935,79.613,10.43,2407.93,0,230.652,4.222,226.43,63.019,1703.51,80.024,0.27,0.271,0.271,93.733
284,279.785,4.37,10.068,418,88.144,17.267,51.567,70.876,11.055,3084.904,0,243.209,4.37,238.838,66.45,1764.381,68.878,0.27,0.271,0.27,89.573
285,352.54,4.616,9.905,418,103.019,39.579,73.879,63.44,10.966,3104.814,0,323.4,4.616,318.784,88.36,1881.782,139.368,0.27,0.271,0.274,83.426
286,464.197,5.362,9.828,418,179.941,123.074,157.374,56.867,9.846,5761.495,0,441.63,5.362,436.268,120.662,2203.861,325.151,0.27,0.271,0.278,71.269
287,191.352,5.375,9.824,418,234.281,185.2,219.5,49.082,9.102,2155.001,0,176.571,5.375,171.196,48.243,2136.533,56.337,0.27,0.272,0.27,71.061
288,299.402,4.194,9.809,418,299.003,258.432,292.732,40.571,10.395,3118.078,0,293.13,4.194,288.937,80.089,1709.466,104.138,0.27,0.271,0.271,90.941
289,300.321,4.31,9.872,418,131.999,102.474,136.774,29.525,13.18,2915.487,0,305.096,4.31,300.786,83.359,1757.918,99.162,0.27,0.271,0.27,89.053
108,87.243,7.096,12.183,419,294.158,134.368,168.668,159.791,4.524,6027.294,0,72.548,7.096,31.152,19.822,2767.447,30.335,0.27,0.285,0.27,66.753
109,126.069,5.943,11.813,419,217.095,40.522,74.822,176.573,3.856,6011.713,0,50.505,5.943,10.262,13.799,2313.359,20.454,0.27,0.299,0.27,77.287
110,153.076,5.323,11.676,419,494.833,314.272,348.572,180.56,3.351,6173.774,0,34.3,5.323,1.493,9.371,2069.956,16.912,0.27,0.332,0.271,85.288
169,200.237,6.475,10.147,419,381.144,192.186,226.486,188.958,4.371,5076.103,0,45.579,6.475,39.104,12.453,2528.067,20.335,0.27,0.281,0.271,60.932
170,243.547,5.84,10.051,419,528.829,329.481,363.781,199.348,4.46,3666.901,0,78.498,5.84,72.659,21.447,2290.254,25.484,0.27,0.276,0.273,66.923
171,311.063,4.418,9.88,419,292.018,84.931,119.231,207.087,4.272,3797.549,0,138.276,4.418,133.858,37.78,1754.282,57.4,0.27,0.273,0.279,86.945
182,117.366,6.408,10.101,419,224.804,64.984,99.284,159.82,6.765,5364.497,0,42.454,6.408,1.746,11.599,2491.842,17.579,0.27,0.333,0.27,61.29
183,158.292,4.695,9.977,419,226.134,73.852,108.152,152.282,4.745,3983.312,0,40.309,4.695,35.614,11.013,1835.152,20.407,0.27,0.279,0.27,82.624
257,208.381,4.04,10.556,419,478.373,240.126,274.426,238.247,3.739,6298.739,0,34.3,4.04,0.394,9.371,1570.765,9.519,0.27,0.343,0.27,101.594
259,234.909,3.024,10.43,419,433.239,145.788,180.088,287.45,3.79,5287.755,0,52.542,3.024,15.218,14.355,1179.838,14.355,0.27,0.283,0.27,134.109
260,250.788,3.021,10.37,419,283.003,2.842,37.142,280.16,4.41,4858.559,1.567,32.733,3.021,1.906,618.345,1175.22,9.371,0.274,0.319,0.27,133.44
261,266.497,3.394,10.316,419,517.768,239.037,273.337,278.731,4.186,4296.882,0,34.3,3.394,18.673,9.371,1324.581,9.371,0.27,0.282,0.27,118.186
262,335.804,4.248,10.206,419,673.373,398.973,433.273,274.399,4.455,4296.882,0,95.705,4.248,91.457,26.149,1676.666,28.206,0.27,0.274,0.272,93.412
263,432.606,4.704,9.88,419,517.96,248.182,282.482,269.778,4.176,5928.37,0,197.128,4.704,192.424,53.86,1881.655,77.299,0.27,0.272,0.272,81.653
264,181.051,5.811,9.942,419,516.403,255.681,289.981,260.722,3.031,5327.983,0,79.671,5.811,39.56,21.768,2270.236,21.768,0.27,0.28,0.27,66.514
265,282.637,4.614,9.833,419,480.41,234.056,268.356,246.353,2.581,4047.827,0,70.584,4.614,65.97,19.285,1811.998,19.285,0.27,0.275,0.27,82.856
271,176.36,4.648,9.812,419,143.702,0,34.3,157.852,16.672,3876.729,16.672,50.286,4.648,62.31,6495.714,1824.026,23.312,0.29,0.276,0.27,82.087
277,109.258,8.127,11.232,419,477.741,288.148,322.448,189.593,4.988,5271.702,0,80.335,8.127,37.909,21.949,3169.962,29.175,0.27,0.284,0.271,53.74
278,138.31,6.192,10.995,419,258.803,70.094,104.394,188.709,4.373,2852.071,0,50.399,6.192,9.907,13.77,2410.156,19.106,0.27,0.301,0.27,69.038
279,154.139,5.716,10.756,419,314.145,106.544,140.844,207.601,3.411,2533.244,0,53.462,5.716,13.446,14.607,2226.018,17.604,0.27,0.294,0.271,73.16
280,168.309,6.052,10.608,419,480.428,257.829,292.129,222.599,3.544,2153.032,0,54.289,6.052,13.938,14.833,2356.698,15.017,0.27,0.294,0.27,68.15
281,187.329,5.789,10.479,419,365.796,127.835,162.135,237.961,3.551,1264.108,0,50.632,5.789,10.543,13.834,2253.567,15.081,0.27,0.298,0.271,70.383
282,230.616,4.273,10.346,419,456.718,211.397,245.697,245.321,3.701,598.793,0,34.3,4.273,15.322,9.371,1665.591,9.371,0.27,0.287,0.27,94.139
283,275.965,4.222,10.179,419,639.268,339.838,374.138,299.43,3.865,2046.658,0,34.3,4.222,6.613,9.371,1643.452,10.706,0.27,0.301,0.273,93.733
284,279.785,4.37,10.068,419,516.91,218.776,253.076,298.134,4.303,2836.466,0,34.3,4.37,11.581,9.371,1702.29,13.714,0.27,0.292,0.275,89.573
285,352.54,4.616,9.905,419,345.007,35.303,69.603,309.704,4.416,2914.713,0,77.136,4.616,72.52,21.075,1814.498,42.065,0.27,0.275,0.297,83.426
286,464.197,5.362,9.828,419,435.319,142.133,176.433,293.186,3.765,5716.873,0,205.311,5.362,199.949,56.095,2139.294,374.335,0.27,0.272,0.302,71.269
287,191.352,5.375,9.824,419,628.799,340.23,374.53,288.568,3.975,1641.241,0,97.216,5.375,57.541,26.561,2105.48,26.561,0.27,0.277,0.27,71.061
288,299.402,4.194,9.809,419,541.833,256.699,290.999,285.134,4.134,2836.466,0,48.568,4.194,44.374,13.27,1642.647,32.326,0.27,0.277,0.289,90.941
289,300.321,4.31,9.872,419,513.929,236.879,271.179,277.05,3.896,2898.968,0,57.571,4.31,53.261,15.73,1690.289,20.33,0.27,0.276,0.277,89.053
108,87.243,7.096,12.183,420,211.006,165.571,199.871,45.435,11.412,5048.552,0,76.108,7.096,69.012,20.794,2777.791,49.872,0.27,0.277,0.27,66.753
109,126.069,5.943,11.813,420,58.399,33.283,67.583,25.116,12.147,5030.383,0,135.253,5.943,129.31,36.954,2345.886,56.285,0.27,0.274,0.27,77.287
110,153.076,5.323,11.676,420,108.066,88.225,122.525,19.841,12.198,5173.779,0,167.535,5.323,162.212,45.774,2113.868,62.06,0.27,0.273,0.27,85.288
169,200.237,6.475,10.147,420,304.794,225.652,259.952,79.142,9.844,6062.453,0,155.394,6.475,148.92,42.457,2558.071,51.253,0.27,0.273,0.27,60.932
170,243.547,5.84,10.051,420,146.06,77.905,112.205,68.155,11.599,4660.887,0,209.691,5.84,203.852,57.292,2326.099,63.158,0.27,0.272,0.271,66.923
