"SegNum","WellNum","time_days","pump_factor","Qs","frac_depletion","depletion_m3d"
66,5,18143,1,0.1188572,0.012,0.0014263
66,5,18143,1.5,0.1782858,0.012,0.0021394
67,5,18143,0.5,0.0183176,0.012,0.0002198
67,5,18143,1,0.0366353,0.012,0.0004396
67,5,18143,1.5,0.0549529,0.012,0.0006594
190,5,18143,0.5,0.0614278,0.011,0.0006757
190,5,18143,1,0.1228556,0.011,0.0013514
190,5,18143,1.5,0.1842834,0.011,0.0020271
211,5,18143,0.5,0.0413261,0.015,0.0006199
211,5,18143,1,0.0826521,0.015,0.0012398
211,5,18143,1.5,0.1239782,0.015,0.0018597
51,6,258,0.5,0,0.088,0
51,6,3543,0.5,0.0014211,0.072,0.0001023
51,6,18143,0.5,0.0837123,0.061,0.0051064
51,6,258,1,0,0.088,0
51,6,3543,1,0.0028422,0.072,0.0002046
51,6,18143,1,0.1674245,0.061,0.0102129
51,6,258,1.5,0,0.088,0
51,6,3543,1.5,0.0042633,0.072,0.000307
51,6,18143,1.5,0.2511368,0.061,0.0153193
61,6,258,0.5,0.0010614,0.347,0.0003683
61,6,3543,0.5,0.2051641,0.284,0.0582666
61,6,18143,0.5,0.3229241,0.239,0.0771789
61,6,258,1,0.0021229,0.347,0.0007366
61,6,3543,1,0.4103282,0.284,0.1165332
61,6,18143,1,0.6458483,0.239,0.1543577
61,6,258,1.5,0.0031843,0.347,0.001105
61,6,3543,1.5,0.6154923,0.284,0.1747998
61,6,18143,1.5,0.9687724,0.239,0.2315366
62,6,258,0.5,0,0.041,0
62,6,3543,0.5,0.0036276,0.034,0.0001233
62,6,18143,0.5,0.1052179,0.028,0.0029461
62,6,258,1,0,0.041,0
62,6,3543,1,0.0072552,0.034,0.0002467
62,6,18143,1,0.2104358,0.028,0.0058922
62,6,258,1.5,0,0.041,0
62,6,3543,1.5,0.0108829,0.034,0.00037
62,6,18143,1.5,0.3156538,0.028,0.0088383
63,6,258,0.5,0.0006048,0.221,0.0001336
63,6,3543,0.5,0.1938804,0.18,0.0348985
63,6,18143,0.5,0.3169432,0.152,0.0481754
63,6,258,1,0.0012095,0.221,0.0002673
63,6,3543,1,0.3877608,0.18,0.0697969
63,6,18143,1,0.6338865,0.152,0.0963507
63,6,258,1.5,0.0018143,0.221,0.0004009
63,6,3543,1.5,0.5816411,0.18,0.1046954
63,6,18143,1.5,0.9508297,0.152,0.1445261
64,6,258,0.5,0.0001449,0.221,3.2e-05
64,6,3543,0.5,0.1670895,0.181,0.0302432
64,6,18143,0.5,0.3016113,0.152,0.0458449
64,6,258,1,0.0002898,0.221,6.4e-05
64,6,3543,1,0.334179,0.181,0.0604864
64,6,18143,1,0.6032226,0.152,0.0916898
64,6,258,1.5,0.0004347,0.221,9.61e-05
64,6,3543,1.5,0.5012685,0.181,0.0907296
64,6,18143,1.5,0.9048339,0.152,0.1375348
214,6,258,0.5,0,0.081,0
214,6,3543,0.5,8.69e-05,0.066,5.7e-06
214,6,18143,0.5,0.0435314,0.056,0.0024378
214,6,258,1,0,0.081,0
214,6,3543,1,0.0001738,0.066,1.15e-05
214,6,18143,1,0.0870628,0.056,0.0048755
214,6,258,1.5,0,0.081,0
214,6,3543,1.5,0.0002607,0.066,1.72e-05
214,6,18143,1.5,0.1305942,0.056,0.0073133
65,6,3543,0.5,0.000165,0.025,4.1e-06
65,6,18143,0.5,0.0504303,0.021,0.001059
65,6,3543,1,0.0003299,0.025,8.2e-06
65,6,18143,1,0.1008605,0.021,0.0021181
65,6,3543,1.5,0.0004949,0.025,1.24e-05
65,6,18143,1.5,0.1512908,0.021,0.0031771
66,6,3543,0.5,1e-07,0.025,0
66,6,18143,0.5,0.0092366,0.029,0.0002679
66,6,3543,1,2e-07,0.025,0
66,6,18143,1,0.0184732,0.029,0.0005357
66,6,3543,1.5,2e-07,0.025,0
66,6,18143,1.5,0.0277098,0.029,0.0008036
336,6,3543,0.5,0.0015044,0.133,0.0002001
336,6,18143,0.5,0.0848694,0.157,0.0133245
336,6,3543,1,0.0030088,0.133,0.0004002
336,6,18143,1,0.1697387,0.157,0.026649
336,6,3543,1.5,0.0045131,0.133,0.0006002
336,6,18143,1.5,0.2546081,0.157,0.0399735
67,6,18143,0.5,0.0006287,0.026,1.63e-05
67,6,18143,1,0.0012574,0.026,3.27e-05
67,6,18143,1.5,0.0018861,0.026,4.9e-05
70,6,18143,0.5,8e-07,0.015,0
70,6,18143,1,1.5e-06,0.015,0
70,6,18143,1.5,2.3e-06,0.015,0
116,6,18143,0.5,3.8e-06,0.012,0
116,6,18143,1,7.6e-06,0.012,1e-07
116,6,18143,1.5,1.14e-05,0.012,1e-07
211,6,18143,0.5,0.0009039,0.021,1.9e-05
211,6,18143,1,0.0018077,0.021,3.8e-05
211,6,18143,1.5,0.0027116,0.021,5.69e-05
213,6,18143,0.5,0.0001144,0.013,1.5e-06
213,6,18143,1,0.0002287,0.013,3e-06
213,6,18143,1.5,0.0003431,0.013,4.5e-06
299,6,18143,0.5,0.0391337,0.017,0.0006653
299,6,18143,1,0.0782675,0.017,0.0013305
299,6,18143,1.5,0.1174012,0.017,0.0019958
61,7,258,0.5,0.519726,0.043,0.0223482
61,7,3543,0.5,0.61477,0.043,0.0264351
61,7,18143,0.5,0.6346727,0.043,0.0272909
61,7,258,1,1.0394521,0.043,0.0446964
61,7,3543,1,1.2295401,0.043,0.0528702
61,7,18143,1,1.2693454,0.043,0.0545819
61,7,258,1.5,1.5591781,0.043,0.0670447
61,7,3543,1.5,1.8443101,0.043,0.0793053
61,7,18143,1.5,1.9040181,0.043,0.0818728
63,7,258,0.5,0.7562633,0.132,0.0998268
63,7,3543,0.5,0.7888463,0.132,0.1041277
63,7,18143,0.5,0.7954928,0.132,0.1050051
63,7,258,1,1.5125266,0.132,0.1996535
63,7,3543,1,1.5776925,0.132,0.2082554
63,7,18143,1,1.5909856,0.132,0.2100101
63,7,258,1.5,2.2687899,0.132,0.2994803
63,7,3543,1.5,2.3665388,0.132,0.3123831
63,7,18143,1.5,2.3864785,0.132,0.3150152
64,7,258,0.5,0.8033804,0.746,0.5993218
64,7,3543,0.5,0.8238044,0.745,0.6137343
64,7,18143,0.5,0.8279624,0.745,0.616832
64,7,258,1,1.6067608,0.746,1.1986436
64,7,3543,1,1.6476088,0.745,1.2274686
64,7,18143,1,1.6559248,0.745,1.233664
64,7,258,1.5,2.4101413,0.746,1.7979654
64,7,3543,1.5,2.4714133,0.745,1.8412029
64,7,18143,1.5,2.4838873,0.745,1.850496
65,7,258,0.5,0.0001431,0.011,1.6e-06
65,7,3543,0.5,0.166865,0.011,0.0018355
65,7,18143,0.5,0.3014769,0.011,0.0033162
65,7,258,1,0.0002861,0.011,3.1e-06
65,7,3543,1,0.3337299,0.011,0.003671
65,7,18143,1,0.6029538,0.011,0.0066325
65,7,258,1.5,0.0004292,0.011,4.7e-06
65,7,3543,1.5,0.5005949,0.011,0.0055065
65,7,18143,1.5,0.9044308,0.011,0.0099487
214,7,258,0.5,0.0008902,0.016,1.42e-05
214,7,3543,0.5,0.2015596,0.016,0.003225
214,7,18143,0.5,0.3210471,0.016,0.0051368
214,7,258,1,0.0017804,0.016,2.85e-05
214,7,3543,1,0.4031193,0.016,0.0064499
214,7,18143,1,0.6420943,0.016,0.0102735
214,7,258,1.5,0.0026706,0.016,4.27e-05
214,7,3543,1.5,0.6046789,0.016,0.0096749
214,7,18143,1.5,0.9631414,0.016,0.0154103
336,7,258,0.5,7.5e-06,0.052,4e-07
336,7,3543,0.5,0.1229853,0.053,0.0065182
336,7,18143,0.5,0.2732328,0.053,0.0144813
336,7,258,1,1.5e-05,0.052,8e-07
336,7,3543,1,0.2459707,0.053,0.0130364
336,7,18143,1,0.5464657,0.053,0.0289627
336,7,258,1.5,2.25e-05,0.052,1.2e-06
336,7,3543,1.5,0.368956,0.053,0.0195547
336,7,18143,1.5,0.8196985,0.053,0.043444
51,8,258,0.5,0,0.082,0
51,8,3543,0.5,1e-07,0.069,0
51,8,18143,0.5,0.0085106,0.054,0.0004596
