Time,pump,Qf.thres,web.exp,n.reach,n.match,bias.match,MAE.match,depletion.prc.modflow.mean,depletion.prc.modflow.min,depletion.prc.modflow.max,RMSE.match,MSE.match,KGE.match,prc.match
1884,Intermittent,1e-04,1.75,113,80,-6.2,0.0319975273720365,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0399970246626687,0.00159976198186613,0.456730076386187,0.707964601769911
1884,Intermittent,1e-04,2,113,80,3.2,0.0339910595724701,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0447455048642965,0.00200216020556078,0.444171858852649,0.707964601769911
1884,Intermittent,1e-04,2.25,113,78,11.4,0.0369245478250179,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0498608044052745,0.00248609981594104,0.425427684244896,0.690265486725664
1884,Intermittent,1e-04,2.5,113,78,18.6,0.0397428902812139,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0547860747739322,0.00300151398913489,0.403585393464535,0.690265486725664
1884,Intermittent,1e-04,2.75,113,78,24.7,0.0426189969423746,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0592870577143346,0.00351495521242284,0.380759537544286,0.690265486725664
1884,Intermittent,1e-04,3,113,77,30,0.0452148650223951,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0632944733005379,0.00400619035039251,0.358268265687937,0.68141592920354
1884,Intermittent,0.001,1,113,84,-31.3,0.0301147700595889,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0365365891676846,0.00133492234800817,0.4675657358148,0.743362831858407
1884,Intermittent,0.001,1.25,113,82,-21.1,0.0293820930284425,0.0670328287855158,0.0039665452355227,0.222344915522141,0.03531928969237,0.00124745222437355,0.491759740739605,0.725663716814159
1884,Intermittent,0.001,1.5,113,83,-11.1,0.0301042350760974,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0370884766032997,0.00137555509675351,0.494765735412138,0.734513274336283
1884,Intermittent,0.001,1.75,113,80,-1.6,0.0319620845287222,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0409831862870915,0.00167962155824245,0.483040192588305,0.707964601769911
1884,Intermittent,0.001,2,113,80,6.9,0.0341331941177911,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0458261130851291,0.00210003264049104,0.462780361856975,0.707964601769911
1884,Intermittent,0.001,2.25,113,78,14.4,0.0370586108812333,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0508209617365708,0.00258277015182999,0.438324682447388,0.690265486725664
1884,Intermittent,0.001,2.5,113,78,21,0.0400659381684058,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0555665430592186,0.003087640707552,0.412396960295249,0.690265486725664
1884,Intermittent,0.001,2.75,113,78,26.7,0.042855850139301,0.0670328287855158,0.0039665452355227,0.222344915522141,0.059894361675164,0.00358733456047535,0.386726642419035,0.690265486725664
1884,Intermittent,0.001,3,113,77,31.5,0.0453688002403172,0.0670328287855158,0.0039665452355227,0.222344915522141,0.063752392659093,0.00406436756975918,0.362353177226803,0.68141592920354
1884,Intermittent,0.01,1,113,83,-23,0.0286605054941618,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0348993888583235,0.00121796734268448,0.533725696055111,0.734513274336283
1884,Intermittent,0.01,1.25,113,82,-13.5,0.0286613877033026,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0352296333806289,0.00124112706813352,0.545850237222767,0.725663716814159
1884,Intermittent,0.01,1.5,113,83,-4.4,0.029820324707426,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0380237196788121,0.00144580325821288,0.536652646105164,0.734513274336283
1884,Intermittent,0.01,1.75,113,80,4.1,0.0318386293926115,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0423248688506555,0.00179139452322519,0.513994903641004,0.707964601769911
1884,Intermittent,0.01,2,113,80,11.7,0.0343841930555774,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0471946692464049,0.00222733680527756,0.484817668355961,0.707964601769911
1884,Intermittent,0.01,2.25,113,78,18.5,0.0374066040097799,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0520455622447224,0.00270874054936928,0.453674410070203,0.690265486725664
1884,Intermittent,0.01,2.5,113,78,24.4,0.0403370005817788,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0565886095537998,0.0032022707312324,0.423070988345966,0.690265486725664
1884,Intermittent,0.01,2.75,113,78,29.5,0.0430223126912701,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0607096908133186,0.00368566655864874,0.394273965804254,0.690265486725664
1884,Intermittent,0.01,3,113,77,33.8,0.0454729798825718,0.0670328287855158,0.0039665452355227,0.222344915522141,0.0643830572130897,0.00414517805610398,0.367829931849124,0.68141592920354
1884,Transient,1e-04,1,114,82,-37.4,0.0882867411292335,0.179946053569699,0.00880573922859963,0.801322269802566,0.116907366975914,0.0136673324532411,0.473498179782622,0.719298245614035
1884,Transient,1e-04,1.25,114,81,-25.2,0.0793920527530673,0.179946053569699,0.00880573922859963,0.801322269802566,0.108939237375075,0.011867757439863,0.517578304250595,0.710526315789474
1884,Transient,1e-04,1.5,114,81,-13.1,0.0774563309191241,0.179946053569699,0.00880573922859963,0.801322269802566,0.112977564056862,0.0127639299802223,0.540669466119366,0.710526315789474
1884,Transient,1e-04,1.75,114,79,-2.1,0.0806252366377889,0.179946053569699,0.00880573922859963,0.801322269802566,0.124803412263689,0.0155758917126603,0.548839715197959,0.692982456140351
1884,Transient,1e-04,2,114,78,7.5,0.0869920618111604,0.179946053569699,0.00880573922859963,0.801322269802566,0.138711000312112,0.0192407416075868,0.546497327650365,0.684210526315789
1884,Transient,1e-04,2.25,114,77,15.6,0.0938116385740412,0.179946053569699,0.00880573922859963,0.801322269802566,0.151794893549589,0.0230416897077311,0.536517483880723,0.675438596491228
1884,Transient,1e-04,2.5,114,76,22.3,0.101251882325091,0.179946053569699,0.00880573922859963,0.801322269802566,0.16320510043963,0.0266359048095098,0.521584967239161,0.666666666666667
1884,Transient,1e-04,2.75,114,75,27.9,0.10792471404003,0.179946053569699,0.00880573922859963,0.801322269802566,0.172915999316258,0.0298999428195403,0.504080725941961,0.657894736842105
1884,Transient,1e-04,3,114,74,32.6,0.114551010571197,0.179946053569699,0.00880573922859963,0.801322269802566,0.181144125741379,0.0328131942906085,0.485775172663137,0.649122807017544
1884,Transient,0.001,1,114,82,-29.7,0.0831529155445722,0.179946053569699,0.00880573922859963,0.801322269802566,0.111902797388942,0.0125222360634706,0.536811823770286,0.719298245614035
1884,Transient,0.001,1.25,114,81,-18.3,0.0765831297559199,0.179946053569699,0.00880573922859963,0.801322269802566,0.108953162125347,0.0118707915371121,0.570591085465984,0.710526315789474
