stream_BC,pump,analytical,apportionment,method,Time,MSE.sum,KGE.sum
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1185,0.00638842546060035,0.212280837555135
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1195,0.00632530778180443,0.207958327897241
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1205,0.00631092130306135,0.206029705711723
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1215,0.00620888264889733,0.201007585362856
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1225.3,0.00599246570413367,0.195950774060106
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1235.7,0.00594100617997389,0.190388835684052
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1246,0.00594496809116275,0.181905404752646
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1256,0.00993493067465665,0.0520190566457165
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1266,0.0120509884713443,-0.0292712976388687
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1276,0.0134703127360656,-0.0144578200774317
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1286.3,0.0144925391293603,0.0262748157837155
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1296.7,0.015280838217768,0.0700024915236521
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1307,0.0160110056385644,0.103331843623784
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1317.3,0.0165713455216241,0.143380920159963
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1327.7,0.0171897933794931,0.167638854606094
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1338,0.0177781108069167,0.187789406735658
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1348,0.0182784363209073,0.203919143027159
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1358,0.0188420725357233,0.220026156855733
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1368,0.019334684102051,0.232443712389054
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1378.3,0.0198179935477035,0.244755078430718
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1388.7,0.0203019553027927,0.252243083873343
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1399,0.0207043123014754,0.260513254712736
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1409,0.0134589315000386,0.233274005062278
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1419,0.0116700969932708,0.264471077761566
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1429,0.0110564505911637,0.253610494660627
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1439.3,0.0110548856646726,0.23974144566848
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1449.7,0.0104812786726696,0.228746156950039
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1460,0.0102130029308674,0.215358057740022
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1470.3,0.010062604758575,0.211230919221317
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1480.7,0.00992701917446078,0.197536286984589
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1491,0.00984401384138949,0.195979747355037
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1500.3,0.00976370018970365,0.184645084881376
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1509.7,0.00961632582339254,0.181256623381086
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1519,0.00959589162797856,0.174540499945969
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1529.3,0.00961794366347324,0.162266422824129
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1539.7,0.00946580115802651,0.165663712799077
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1550,0.00938756327116915,0.161051707936026
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1560,0.00935338968342227,0.160069305431913
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1570,0.00934254535625144,0.158677521402503
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1580,0.00917010022848482,0.153908159143276
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1590.3,0.00884715155493085,0.15274005312266
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1600.7,0.00881961120225089,0.146844036305028
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1611,0.00875482414857604,0.145493356652766
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1621,0.0126286207427186,-0.0152239767600377
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1631,0.0145951104492244,-0.121896899692248
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1641,0.0158675243917022,-0.117478782025454
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1651.3,0.016795069637343,-0.079807019273566
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1661.7,0.0174616829695296,-0.0391262399079331
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1672,0.0181277285557708,-0.000962869906115715
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1682.3,0.0186564886748762,0.0361255638131349
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1692.7,0.0192765747228122,0.0664350177399388
RIV,Intermittent,glover,Adjacent+Dynamic,Qf.Web,1703,0.0197692567873406,0.0889073828328526
