stream_BC,pump,analytical,apportionment,method,Time,MSE.overall,KGE.overall
SFR,Intermittent,hunt,Dynamic,Qf.Web,1276,0.00184061499610106,0.0547620423595159
SFR,Intermittent,hunt,Dynamic,Qf.Web,1286.3,0.00239636697586618,0.024989530049059
SFR,Intermittent,hunt,Dynamic,Qf.Web,1296.7,0.002882014824236,0.0220841960042001
SFR,Intermittent,hunt,Dynamic,Qf.Web,1307,0.00261957176858848,0.0414064573917076
SFR,Intermittent,hunt,Dynamic,Qf.Web,1317.3,0.00329291906307913,0.0509284046962423
SFR,Intermittent,hunt,Dynamic,Qf.Web,1327.7,0.00361674901225852,0.000416332709824441
SFR,Intermittent,hunt,Dynamic,Qf.Web,1338,0.00377367568707434,-0.00284729188360067
SFR,Intermittent,hunt,Dynamic,Qf.Web,1348,0.00396380090174772,0.027118481257251
SFR,Intermittent,hunt,Dynamic,Qf.Web,1358,0.00420134570553614,0.0152123872084025
SFR,Intermittent,hunt,Dynamic,Qf.Web,1368,0.00422448954559867,0.0614777429746868
SFR,Intermittent,hunt,Dynamic,Qf.Web,1378.3,0.00475105969213814,-0.055231048397669
SFR,Intermittent,hunt,Dynamic,Qf.Web,1388.7,0.00472394122912116,0.0408817023074657
SFR,Intermittent,hunt,Dynamic,Qf.Web,1399,0.00472436776146543,0.0525841701313191
SFR,Intermittent,hunt,Dynamic,Qf.Web,1409,0.00409494356897032,0.013422231676488
SFR,Intermittent,hunt,Dynamic,Qf.Web,1419,0.00367082167904921,-0.000783947912155858
SFR,Intermittent,hunt,Dynamic,Qf.Web,1429,0.00326045090382169,0.0189234095246683
SFR,Intermittent,hunt,Dynamic,Qf.Web,1439.3,0.00279607840411968,0.0326206972698005
SFR,Intermittent,hunt,Dynamic,Qf.Web,1449.7,0.00247468982813711,0.0624578677327112
SFR,Intermittent,hunt,Dynamic,Qf.Web,1460,0.00237333497481137,0.0251275854130442
SFR,Intermittent,hunt,Dynamic,Qf.Web,1470.3,0.00223957206774169,0.0114035026806781
SFR,Intermittent,hunt,Dynamic,Qf.Web,1480.7,0.00215373677335318,0.0212303327287132
SFR,Intermittent,hunt,Dynamic,Qf.Web,1491,0.00199706523177633,0.0287140767725554
SFR,Intermittent,hunt,Dynamic,Qf.Web,1500.3,0.00180933622416861,0.0254684482852089
SFR,Intermittent,hunt,Dynamic,Qf.Web,1509.7,0.00180858958662828,-0.00632401463367938
SFR,Intermittent,hunt,Dynamic,Qf.Web,1519,0.00152946709419453,0.0404743582397517
SFR,Intermittent,hunt,Dynamic,Qf.Web,1529.3,0.00153536631444448,0.0165174502741029
SFR,Intermittent,hunt,Dynamic,Qf.Web,1539.7,0.0014323060379061,0.021594322653912
SFR,Intermittent,hunt,Dynamic,Qf.Web,1550,0.00138096131426152,0.0119163505630068
SFR,Intermittent,hunt,Dynamic,Qf.Web,1560,0.00126053140372448,0.0220725410878235
SFR,Intermittent,hunt,Dynamic,Qf.Web,1570,0.00124094198944734,0.028191892005753
SFR,Intermittent,hunt,Dynamic,Qf.Web,1580,0.00112042515635864,0.0234047963904642
SFR,Intermittent,hunt,Dynamic,Qf.Web,1590.3,0.00118659432586114,0.0319806392257475
SFR,Intermittent,hunt,Dynamic,Qf.Web,1600.7,0.00110364935589373,0.0216427582440921
SFR,Intermittent,hunt,Dynamic,Qf.Web,1611,0.00106530512739262,0.00663957180085417
SFR,Intermittent,hunt,Dynamic,Qf.Web,1621,0.00120902077221361,0.0646910106015903
SFR,Intermittent,hunt,Dynamic,Qf.Web,1631,0.00142198909388288,0.049248654498948
SFR,Intermittent,hunt,Dynamic,Qf.Web,1641,0.00187356566539354,0.0233363265376357
SFR,Intermittent,hunt,Dynamic,Qf.Web,1651.3,0.00212171729093074,0.0329520008360931
SFR,Intermittent,hunt,Dynamic,Qf.Web,1661.7,0.0024386993917579,0.0307334544367824
SFR,Intermittent,hunt,Dynamic,Qf.Web,1672,0.0024809964108462,0.0549524005277614
SFR,Intermittent,hunt,Dynamic,Qf.Web,1682.3,0.00259429286268452,0.0539594240636531
SFR,Intermittent,hunt,Dynamic,Qf.Web,1692.7,0.00283566572111409,0.0583667881224944
SFR,Intermittent,hunt,Dynamic,Qf.Web,1703,0.00318961972797066,0.0307388444985179
SFR,Intermittent,hunt,Dynamic,Qf.Web,1713,0.00320268433974264,0.0657722244297052
SFR,Intermittent,hunt,Dynamic,Qf.Web,1723,0.00370491528280224,0.0294279389332526
SFR,Intermittent,hunt,Dynamic,Qf.Web,1733,0.00358861265148107,0.0499205344560681
SFR,Intermittent,hunt,Dynamic,Qf.Web,1743.3,0.00388985377038952,0.0471319725724498
SFR,Intermittent,hunt,Dynamic,Qf.Web,1753.7,0.00406881514692864,0.0393343609970963
SFR,Intermittent,hunt,Dynamic,Qf.Web,1764,0.00415652482121366,0.0541827361826825
SFR,Intermittent,hunt,Dynamic,Qf.Web,1774,0.00335962211884791,0.0382283869044689
SFR,Intermittent,hunt,Dynamic,Qf.Web,1784,0.00293653321103449,0.0319624821342516
SFR,Intermittent,hunt,Dynamic,Qf.Web,1794,0.0026931654911738,0.0407015900299611
SFR,Intermittent,hunt,Dynamic,Qf.Web,1804.3,0.00245168705334294,0.0397717081025615
SFR,Intermittent,hunt,Dynamic,Qf.Web,1814.7,0.00231027621458,0.0116271085765818
SFR,Intermittent,hunt,Dynamic,Qf.Web,1825,0.00203419797853153,0.0434682262185997
SFR,Intermittent,hunt,Dynamic,Qf.Web,1835.3,0.00192266165627281,0.0144606859156451
SFR,Intermittent,hunt,Dynamic,Qf.Web,1845.7,0.00179242490023316,0.0491854622069881
SFR,Intermittent,hunt,Dynamic,Qf.Web,1856,0.00167638341667377,0.0259922301605611
SFR,Intermittent,hunt,Dynamic,Qf.Web,1865.3,0.00160694268868556,0.0351895318209821
SFR,Intermittent,hunt,Dynamic,Qf.Web,1874.7,0.00143031870417173,0.041180886926836
SFR,Intermittent,hunt,Dynamic,Qf.Web,1884,0.0013955906799505,0.0273629066714157
SFR,Intermittent,hunt,Dynamic,Qf.Web,1894.3,0.00132847238380997,0.0361442412728715
SFR,Intermittent,hunt,Dynamic,Qf.Web,1904.7,0.00132262751898983,0.0416798661793846
SFR,Intermittent,hunt,Dynamic,Qf.Web,1915,0.00121702506049037,0.0328357623602927
SFR,Intermittent,hunt,Dynamic,Qf.Web,1925,0.00118529176302882,0.0261649264688054
SFR,Intermittent,hunt,Dynamic,Qf.Web,1935,0.00107298632189785,0.036682779810879
SFR,Intermittent,hunt,Dynamic,Qf.Web,1945,0.00111143958202105,0.0310577543046022
SFR,Intermittent,hunt,Dynamic,Qf.Web,1955.3,0.00102201978198571,0.0252890509237425
SFR,Intermittent,hunt,Dynamic,Qf.Web,1965.7,0.00101915002442863,0.0156778092441504
SFR,Intermittent,hunt,Dynamic,Qf.Web,1976,0.000978723280075174,0.0316930625533768
SFR,Intermittent,hunt,Dynamic,Qf.Web,1986,0.00114185194841267,0.0257379748580007
SFR,Intermittent,hunt,Dynamic,Qf.Web,1996,0.00142698126534016,0.0423428631216567
SFR,Intermittent,hunt,Dynamic,Qf.Web,2006,0.00169794896097313,0.0261318062760326
SFR,Intermittent,hunt,Dynamic,Qf.Web,2016.3,0.00178479327483704,0.0456257301229048
SFR,Intermittent,hunt,Dynamic,Qf.Web,2026.7,0.00206589022803228,0.0245508123707352
SFR,Intermittent,hunt,Dynamic,Qf.Web,2037,0.00219911372691247,0.0255673978583685
SFR,Intermittent,hunt,Dynamic,Qf.Web,2047.3,0.00255485762179258,0.0289620222259669
SFR,Intermittent,hunt,Dynamic,Qf.Web,2057.7,0.00237726202660484,0.0592325224671417
SFR,Intermittent,hunt,Dynamic,Qf.Web,2068,0.00271398233965363,0.0494014094460016
SFR,Intermittent,hunt,Dynamic,Qf.Web,2078,0.002941242889553,0.0401172656645835
SFR,Intermittent,hunt,Dynamic,Qf.Web,2088,0.00301792785833365,0.0498527939062836
SFR,Intermittent,hunt,Dynamic,Qf.Web,2098,0.00314613902122639,0.0519412985056243
SFR,Intermittent,hunt,Dynamic,Qf.Web,2108.3,0.00342616129312312,0.040385605844425
SFR,Intermittent,hunt,Dynamic,Qf.Web,2118.7,0.00333947807256655,0.0437421283869595
SFR,Intermittent,hunt,Dynamic,Qf.Web,2129,0.00375788554937832,0.041377765389495
SFR,Intermittent,hunt,Dynamic,Qf.Web,2139,0.0031385554028716,0.0334583217639369
SFR,Intermittent,hunt,Dynamic,Qf.Web,2149,0.00268809527147978,0.0251779808088712
SFR,Intermittent,hunt,Dynamic,Qf.Web,2159,0.00250064213523143,0.0270764990199894
SFR,Intermittent,hunt,Dynamic,Qf.Web,2169.3,0.0021886360782735,0.0477484659463999
SFR,Intermittent,hunt,Dynamic,Qf.Web,2179.7,0.00203211663754771,0.0367818049127097
SFR,Intermittent,hunt,Dynamic,Qf.Web,2190,0.0018326244471826,0.0294341795409963
SFR,Intermittent,hunt,Dynamic,Qf.Web,2200.3,0.00174331819363404,0.0347402112658602
SFR,Intermittent,hunt,Dynamic,Qf.Web,2210.7,0.00162046383791604,0.0259149111278474
SFR,Intermittent,hunt,Dynamic,Qf.Web,2221,0.00155564240653194,0.025676875688309
