"ReachNum","f.InvDist","f.InvDistSq","f.Web","f.WebSq","f.TPoly","WellNum","distToWell.min.m"
225,0.0149130276647389,0.0010099157409424,0.00370474563544541,0.000669791005701573,0,7,4718.02
226,0.0149189091936642,0.00101071249664895,0.0258300939623894,0.00423966836294188,0,7,4716.16
227,0.0246291148715657,0.00275455280947091,0.0500912300311641,0.0130955337025771,0,7,2856.78
311,0.0164799429391725,0.00123328912401702,0.0121762067183652,0.00235107450028919,0,7,4269.43
350,0.0401396346485734,0.00731644858055334,0.215257231444131,0.0722940370251028,0,7,1752.88
53,0.0361035885030049,0.0162107024035415,0.00723357671950268,0.00432806132102887,0.110094674825773,8,4586.41
54,0.0451638035059668,0.0253677594237509,0.12157192355508,0.0782278062911999,0.134752685938047,8,3666.34
55,0.0286665222852885,0.0102200050458904,0.018033927044258,0.00801390687237773,0,8,5776.28
64,0.139009939174656,0.240321595431294,0.165200355378123,0.232999290484518,0.423490339608599,8,1191.18
65,0.0448620588854149,0.0250299218740536,0.0536643493350347,0.0323468130207231,0.0708588829299202,8,3691
66,0.0321012320764576,0.0128157638012146,0.000392883338538756,0.000210660447779029,0.0262512570837877,8,5158.24
67,0.141717755041908,0.249775375162875,0.0587167866410653,0.133045491401071,0.186850522474,8,1168.42
68,0.114343030311823,0.162599979774418,0.107810285515007,0.157862812437566,0.0062089990888717,8,1448.15
69,0.0604266203986697,0.0454106483328437,0.0248323726396865,0.0243991597595118,0,8,2740.28
70,0.0567290508878603,0.0400232293056488,0.0435202535655296,0.0344073154307633,0,8,2918.89
71,0.0394948848673652,0.0193991542442592,0.027258470680403,0.0169334476446407,0,8,4192.59
224,0.0404499363264771,0.0203487050350944,0.0408284835857713,0.0237385581740966,0,8,4093.6
225,0.0306899639966465,0.0117136933292826,0.00462116537513278,0.00233179635071888,0,8,5395.44
226,0.0306950272675323,0.0117175587293785,0.0156370154525319,0.00759307088313616,0,8,5394.55
227,0.0592637423618283,0.0436796587939474,0.075754945684293,0.066590120764365,0.0414926380510012,8,2794.05
311,0.0394727598835899,0.0193774255695697,0.0173793356123818,0.01072271594885,0,8,4194.94
350,0.060810084225511,0.0459888237429384,0.21754386987766,0.166248972767654,0,8,2723
64,0.0891587861707168,0.0844469215767554,0.131644881100907,0.114760577800707,0.0137173490225113,9,1193.83
65,0.0300459363613025,0.00959018564055506,0.0271593502272834,0.0102466355838735,0,9,3542.59
67,0.131759300968245,0.184424278069105,0.0502431381580628,0.0781812953388712,0.00615309887809399,9,807.84
68,0.161800461646556,0.278108998244734,0.150419507562919,0.262950213057705,0.385920761325431,9,657.85
69,0.064813782124638,0.0446262359887401,0.0258822070977366,0.0212758401015563,0.0987681404757717,9,1642.25
70,0.0468881998925975,0.0233551492856561,0.0377362559702001,0.0207617876708105,0,9,2270.09
71,0.028986493638244,0.0089257947472224,0.0413358957784516,0.0143591325436541,0,9,3672.07
203,0.0199307619860625,0.0042199114080074,0.00936995207216684,0.00261593189114006,0,9,5340.51
213,0.0232984646571757,0.00576647127293801,0.0053634910929393,0.0017866836174362,0,9,4568.56
214,0.0261925984049714,0.00728807270353861,0.0129506214546153,0.00480037111835757,0,9,4063.76
224,0.0571648793463911,0.0347147554606327,0.0543715571597186,0.0342830375168496,0.0279317128616758,9,1861.99
225,0.0320846283467883,0.0109357746911808,0.00530350632316614,0.00244544579926352,0,9,3317.49
226,0.0321058226085684,0.0109502272334713,0.0376212412682434,0.015171033191784,0,9,3315.3
227,0.0469032827291337,0.0233701773121942,0.0561014029102327,0.0297295767005825,0,9,2269.36
311,0.0289943105827677,0.00893060953104519,0.017577151818613,0.00715177244364088,0,9,3671.08
312,0.0253981105863653,0.00685264679467648,0.0283316115517623,0.0101598833235219,0,9,4190.88
350,0.154474179949476,0.253493790039547,0.308588228452982,0.369320782300247,0.467508937436516,9,689.05
54,0.0187560731502553,0.00236396444483741,0.0322371718678112,0.00682905698703116,0.0364812884910844,10,4573.66
64,0.0962868737085224,0.0623004633442958,0.117080146345356,0.0668092926689901,0.159089362847393,10,890.92
65,0.0221131854696832,0.00328594069915404,0.0232570565334297,0.00510564081859945,0,10,3879.31
67,0.245862547718314,0.406201815196077,0.0940951087116738,0.200658571536556,0.469223657548201,10,348.91
