STORAGE_IN,CONSTANT_HEAD_IN,RECHARGE_IN,STREAM_LEAKAGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,RECHARGE_OUT,STREAM_LEAKAGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,WellNum
0.0,308.4639892578125,914428.75,309.50421142578125,1418.4306640625,916465.125,0.0,49109.88671875,0.0,865945.625,1411.35693359375,916466.875,-1.75,-0.0,189
0.0,308.46490478515625,914428.75,309.5089111328125,1418.4478759765625,916465.125,0.0,49109.55859375,0.0,865945.9375,1411.385009765625,916466.875,-1.75,-0.0,19
0.0,308.4639892578125,914428.75,309.5008850097656,1418.4320068359375,916465.125,0.0,49109.87109375,0.0,865945.625,1411.3648681640625,916466.875,-1.75,-0.0,190
0.0,308.4639892578125,914428.75,309.4966125488281,1418.4317626953125,916465.125,0.0,49109.859375,0.0,865945.625,1411.3798828125,916466.875,-1.75,-0.0,191
0.0,308.4639892578125,914428.75,309.4912109375,1418.4364013671875,916465.125,0.0,49109.8515625,0.0,865945.625,1411.3671875,916466.875,-1.75,-0.0,192
0.0,308.4639892578125,914428.75,309.48419189453125,1418.451904296875,916465.125,0.0,49109.84375,0.0,865945.75,1411.286376953125,916466.9375,-1.8125,-0.0,193
0.0,308.4639892578125,914428.75,309.4755859375,1418.441650390625,916465.125,0.0,49109.83984375,0.0,865945.625,1411.3695068359375,916466.8125,-1.6875,-0.0,194
0.0,308.4639892578125,914428.75,309.4695129394531,1418.4410400390625,916465.125,0.0,49109.8359375,0.0,865945.625,1411.37890625,916466.8125,-1.6875,-0.0,195
0.0,308.4639892578125,914428.75,309.4721984863281,1418.441650390625,916465.125,0.0,49109.83203125,0.0,865945.625,1411.3717041015625,916466.8125,-1.6875,-0.0,196
0.0,308.4639892578125,914428.75,309.48040771484375,1418.440185546875,916465.125,0.0,49109.828125,0.0,865945.625,1411.37548828125,916466.8125,-1.6875,-0.0,197
0.0,308.4638977050781,914428.75,309.5198974609375,1418.413818359375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.341064453125,916466.875,-1.75,-0.0,198
0.0,308.4638977050781,914428.75,309.5249938964844,1418.4251708984375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.359619140625,916466.9375,-1.8125,-0.0,199
0.0,308.4742126464844,914428.75,309.5082092285156,1417.4420166015625,916464.1875,0.0,49109.7421875,0.0,865945.5625,1410.5269775390625,916465.8125,-1.625,-0.0,2
0.0,308.4652099609375,914428.75,309.5096130371094,1418.4498291015625,916465.125,0.0,49109.515625,0.0,865946.0,1411.3743896484375,916466.875,-1.75,-0.0,20
0.0,308.4638977050781,914428.75,309.5260009765625,1418.4361572265625,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3642578125,916466.9375,-1.8125,-0.0,200
0.0,308.4638977050781,914428.75,309.5235900878906,1418.4327392578125,916465.125,0.0,49109.91015625,0.0,865945.625,1411.350830078125,916466.9375,-1.8125,-0.0,201
0.0,308.4638977050781,914428.75,309.5195007324219,1418.4254150390625,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3646240234375,916466.9375,-1.8125,-0.0,202
0.0,308.4638977050781,914428.75,309.5155029296875,1418.4261474609375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3385009765625,916466.875,-1.75,-0.0,203
0.0,308.4638977050781,914428.75,309.5132141113281,1418.607421875,916465.3125,0.0,49109.91796875,0.0,865946.9375,1410.534423828125,916467.4375,-2.125,-0.0,204
0.0,308.4638977050781,914428.75,309.5097961425781,1418.423828125,916465.125,0.0,49109.91015625,0.0,865945.625,1411.33740234375,916466.875,-1.75,-0.0,205
0.0,308.4638977050781,914428.75,309.5091857910156,1418.4246826171875,916465.125,0.0,49109.91015625,0.0,865945.6875,1411.319580078125,916466.9375,-1.8125,-0.0,206
0.0,308.4638977050781,914428.75,309.5096130371094,1418.5379638671875,916465.25,0.0,49109.9140625,0.0,865946.5625,1410.784423828125,916467.3125,-2.0625,-0.0,207
0.0,308.4638977050781,914428.75,309.5083923339844,1418.4324951171875,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3345947265625,916466.875,-1.75,-0.0,208
0.0,308.4638977050781,914428.75,309.5080871582031,1418.4365234375,916465.125,0.0,49109.91015625,0.0,865945.625,1411.3287353515625,916466.875,-1.75,-0.0,209
0.0,308.4643859863281,914428.75,309.5101013183594,1418.500244140625,916465.1875,0.0,49109.87890625,0.0,865946.1875,1411.0263671875,916467.0625,-1.875,-0.0,21
0.0,308.4638977050781,914428.75,309.5079040527344,1416.6552734375,916463.3125,0.0,49109.91015625,0.0,865945.25,1409.860595703125,916465.0625,-1.75,-0.0,210
0.0,308.4638977050781,914428.75,309.50860595703125,1417.2587890625,916463.9375,0.0,49109.9140625,0.0,865946.625,1409.4395751953125,916466.0,-2.0625,-0.0,211
0.0,308.4638977050781,914428.75,309.50750732421875,1417.4775390625,916464.1875,0.0,49109.91015625,0.0,865945.4375,1410.5584716796875,916465.9375,-1.75,-0.0,212
0.0,308.4638977050781,914428.75,309.50518798828125,1417.69189453125,916464.375,0.0,49109.8984375,0.0,865945.9375,1410.3861083984375,916466.1875,-1.8125,-0.0,213
0.0,308.4639892578125,914428.75,309.5013122558594,1418.3740234375,916465.0625,0.0,49109.88671875,0.0,865945.25,1411.5946044921875,916466.75,-1.6875,-0.0,214
0.0,308.4639892578125,914428.75,309.49688720703125,1418.4447021484375,916465.125,0.0,49109.875,0.0,865945.75,1411.2646484375,916466.875,-1.75,-0.0,215
