STORAGE_IN,CONSTANT_HEAD_IN,RIVER_LEAKAGE_IN,RECHARGE_IN,MNW2_IN,TOTAL_IN,STORAGE_OUT,CONSTANT_HEAD_OUT,RIVER_LEAKAGE_OUT,RECHARGE_OUT,MNW2_OUT,TOTAL_OUT,IN-OUT,PERCENT_DISCREPANCY,WellNum
0.0,0.0,484164.1875,914428.75,0.0,1398593.0,0.0,74298.9453125,1324291.875,0.0,2.271199941635132,1398593.125,-0.125,-0.0,0
0.0,0.0,484164.25,914428.75,1.1332999467849731,1398594.125,0.0,74298.9453125,1324292.0,0.0,3.4054999351501465,1398594.375,-0.25,-0.0,0
0.0,0.0,484164.03125,914428.75,0.8852999806404114,1398593.625,0.0,74298.9453125,1324291.875,0.0,3.1600000858306885,1398594.0,-0.375,-0.0,0
0.0,0.0,484163.90625,914428.75,0.0,1398592.625,0.0,74298.921875,1324291.875,0.0,2.271199941635132,1398593.0,-0.375,-0.0,0
0.0,0.0,484163.9375,914428.75,0.0,1398592.75,0.0,74298.9453125,1324291.875,0.0,2.271199941635132,1398593.125,-0.375,-0.0,0
0.0,0.0,484163.8125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.75,0.0,2.271199941635132,1398593.0,-0.5,-0.0,0
0.0,0.0,484163.78125,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.375,-0.0,0
0.0,0.0,484163.75,914428.75,11.616800308227539,1398604.125,0.0,74298.9453125,1324290.875,0.0,14.232600212097168,1398604.125,0.0,0.0,0
0.0,0.0,484163.71875,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.375,0.0,2.271199941635132,1398592.625,-0.125,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.625,0.0,2.271199941635132,1398592.875,-0.5,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.375,-0.0,0
0.0,0.0,484163.65625,914428.75,3.1273000240325928,1398595.5,0.0,74298.9453125,1324291.5,0.0,5.404399871826172,1398595.875,-0.375,-0.0,0
0.0,0.0,484163.6875,914428.75,1.367300033569336,1398593.875,0.0,74298.9453125,1324291.5,0.0,3.6398000717163086,1398594.125,-0.25,-0.0,0
0.0,0.0,484164.15625,914428.75,0.0,1398592.875,0.0,74298.8828125,1324292.125,0.0,2.271199941635132,1398593.25,-0.375,-0.0,0
0.0,0.0,484163.65625,914428.75,0.0,1398592.375,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.375,-0.0,0
0.0,0.0,484163.75,914428.75,0.0,1398592.5,0.0,74298.9453125,1324291.5,0.0,2.271199941635132,1398592.75,-0.25,-0.0,0
0.0,0.0,484163.875,914428.75,0.0,1398592.625,0.0,74298.9375,1324291.625,0.0,2.271199941635132,1398592.75,-0.125,-0.0,0
0.0,0.0,484164.03125,914428.75,0.0,1398592.75,0.0,74298.9453125,1324291.875,0.0,2.271199941635132,1398593.125,-0.375,-0.0,0
0.0,0.0,484163.96875,914428.75,3.6572999954223633,1398596.375,0.0,74298.9453125,1324291.75,0.0,5.928800106048584,1398596.625,-0.25,-0.0,0
0.0,0.0,484163.90625,914428.75,0.0,1398592.625,0.0,74298.9453125,1324291.75,0.0,2.271199941635132,1398593.0,-0.375,-0.0,0
