"row" "col" "lay" "lon" "lat" "WellNum" "ztop_m"
52 60 0 445634.12422272 4337604.71038478 42 120.532386779785
56 60 0 445634.12422272 4336604.71038478 43 142.232223510742
60 60 0 445634.12422272 4335604.71038478 44 67.0608139038086
64 60 0 445634.12422272 4334604.71038478 45 108.154457092285
68 60 0 445634.12422272 4333604.71038478 46 217.350738525391
72 60 0 445634.12422272 4332604.71038478 47 187.339828491211
40 64 0 446634.12422272 4340604.71038478 48 123.044616699219
44 64 0 446634.12422272 4339604.71038478 49 251.159133911133
48 64 0 446634.12422272 4338604.71038478 50 261.139251708984
52 64 0 446634.12422272 4337604.71038478 51 321.332885742188
56 64 0 446634.12422272 4336604.71038478 52 318.549896240234
60 64 0 446634.12422272 4335604.71038478 53 208.892669677734
64 64 0 446634.12422272 4334604.71038478 54 127.727828979492
68 64 0 446634.12422272 4333604.71038478 55 172.842330932617
76 64 0 446634.12422272 4331604.71038478 56 209.703842163086
40 68 0 447634.12422272 4340604.71038478 57 146.516754150391
48 68 0 447634.12422272 4338604.71038478 58 130.401763916016
52 68 0 447634.12422272 4337604.71038478 59 138.248764038086
56 68 0 447634.12422272 4336604.71038478 60 145.008407592773
60 68 0 447634.12422272 4335604.71038478 61 240.401504516602
64 68 0 447634.12422272 4334604.71038478 62 66.9321441650391
68 68 0 447634.12422272 4333604.71038478 63 141.829193115234
76 68 0 447634.12422272 4331604.71038478 64 207.407363891602
80 68 0 447634.12422272 4330604.71038478 65 400.816802978516
36 72 0 448634.12422272 4341604.71038478 66 144.539398193359
40 72 0 448634.12422272 4340604.71038478 67 142.171646118164
44 72 0 448634.12422272 4339604.71038478 68 145.85986328125
48 72 0 448634.12422272 4338604.71038478 69 98.2885055541992
52 72 0 448634.12422272 4337604.71038478 70 135.730255126953
60 72 0 448634.12422272 4335604.71038478 71 219.525573730469
64 72 0 448634.12422272 4334604.71038478 72 78.1865386962891
68 72 0 448634.12422272 4333604.71038478 73 147.932800292969
76 72 0 448634.12422272 4331604.71038478 74 293.184020996094
80 72 0 448634.12422272 4330604.71038478 75 437.564086914062
32 76 0 449634.12422272 4342604.71038478 76 204.008834838867
36 76 0 449634.12422272 4341604.71038478 77 199.203399658203
40 76 0 449634.12422272 4340604.71038478 78 118.562210083008
44 76 0 449634.12422272 4339604.71038478 79 297.91943359375
48 76 0 449634.12422272 4338604.71038478 80 250.698852539062
52 76 0 449634.12422272 4337604.71038478 81 142.07307434082
56 76 0 449634.12422272 4336604.71038478 82 112.562187194824
60 76 0 449634.12422272 4335604.71038478 83 108.498542785645
64 76 0 449634.12422272 4334604.71038478 84 100.964324951172
68 76 0 449634.12422272 4333604.71038478 85 207.233139038086
72 76 0 449634.12422272 4332604.71038478 86 199.22590637207
80 76 0 449634.12422272 4330604.71038478 87 194.256713867188
84 76 0 449634.12422272 4329604.71038478 88 265.589050292969
88 76 0 449634.12422272 4328604.71038478 89 335.339416503906
32 80 0 450634.12422272 4342604.71038478 90 195.78630065918
36 80 0 450634.12422272 4341604.71038478 91 224.649337768555
40 80 0 450634.12422272 4340604.71038478 92 156.354476928711
44 80 0 450634.12422272 4339604.71038478 93 144.350570678711
48 80 0 450634.12422272 4338604.71038478 94 344.743743896484
52 80 0 450634.12422272 4337604.71038478 95 234.322982788086
56 80 0 450634.12422272 4336604.71038478 96 98.6351547241211
60 80 0 450634.12422272 4335604.71038478 97 56.5422477722168
68 80 0 450634.12422272 4333604.71038478 98 156.739791870117
72 80 0 450634.12422272 4332604.71038478 99 137.221878051758
76 80 0 450634.12422272 4331604.71038478 100 133.994140625
80 80 0 450634.12422272 4330604.71038478 101 85.3913269042969
84 80 0 450634.12422272 4329604.71038478 102 241.253189086914
88 80 0 450634.12422272 4328604.71038478 103 253.979782104492
36 84 0 451634.12422272 4341604.71038478 104 252.24690246582
40 84 0 451634.12422272 4340604.71038478 105 244.882186889648
44 84 0 451634.12422272 4339604.71038478 106 257.963256835938
