"SegNum" "FromNode" "ToNode" "SFR_NSEG" "TotDASqKM" "TerminalFl" "TerminalPa" "SFR_OUTSEG" "DirectDASqKM" "width_m"
99 10006309 10006300 206 93.1176 "0" 10013609 207 3.2445 12.0331646718659
98 10006300 10006298 207 96.6393 "0" 10013609 209 3.52170000000001 12.1310280298638
108 10006068 10006076 208 98.505 "0" 10013609 210 3.30569999999999 12.1831954535806
97 10006298 10006292 209 99.8865 "0" 10013609 212 3.24719999999999 12.221968515085
107 10006076 10006079 210 102.2697 "0" 10013609 237 3.7647 12.2891454667568
231 10006104 10006093 211 107.2836 "0" 10013609 213 3.59460000000001 12.4316838179659
96 10006292 10006290 212 107.6904 "0" 10013609 216 7.8039 12.4433208417969
230 10006093 10006086 213 111.8826 "0" 10013609 214 4.59899999999999 12.5638803750527
229 10006086 10006081 214 116.8308 "0" 10013609 215 4.9482 12.7076848960439
228 10006081 10006080 215 119.1393 "0" 10013609 236 2.30850000000001 12.7753364250394
95 10006290 10006285 216 124.6896 "0" 10013609 219 15.0003 12.9394678057127
123 10005958 10005959 217 150.1407 "0" 10013609 218 0.279900000000026 13.7195207425152
122 10005959 10005964 218 153.81 "0" 10013609 221 3.66929999999999 13.8357950807989
94 10006285 10006279 219 153.9423 "0" 10013609 220 1.73699999999999 13.8400058154937
93 10006279 10006275 220 155.8593 "0" 10013609 222 1.917 13.901162509049
121 10005964 10005970 221 155.8611 "0" 10013609 223 2.05109999999999 13.9012200599809
92 10006275 10006385 222 161.8146 "0" 10013609 224 5.95530000000002 14.0928793668983
120 10005970 10005973 223 162.1422 "0" 10013609 227 6.28110000000001 14.1035020711387
91 10006385 10006268 224 170.7273 "0" 10013609 225 0.0387000000000057 14.384753635689
90 10006268 10006260 225 177.1776 "0" 10013609 226 1.09979999999999 14.5997522644806
88 10006260 10006144 226 182.6262 "0" 10013609 228 5.4486 14.7838643645886
119 10005973 10005972 227 183.7692 "0" 10013609 229 2.19060000000002 14.8227807969081
89 10006144 10006126 228 185.2614 "0" 10013609 232 2.6352 14.8737408689607
118 10005972 10005974 229 186.3162 "0" 10013609 230 2.547 14.9098689656425
117 10005974 10005976 230 188.1414 "0" 10013609 231 1.8252 14.972591560525
116 10005976 10005968 231 192.3786 "0" 10013609 254 4.2372 15.1192211833049
87 10006126 10006100 232 200.1933 "0" 10013609 233 14.9319 15.3934280815285
86 10006100 10006101 233 208.6569 "0" 10013609 234 1.53360000000001 15.696016442527
85 10006101 10006096 234 227.5722 "0" 10013609 235 6.4872 16.3939463286439
84 10006096 10006080 235 239.8905 "0" 10013609 236 4.29300000000001 16.8650634440646
83 10006080 10006079 236 359.2305 "0" 10013609 237 0.200699999999983 22.191874988635
82 10006079 10006067 237 465.3567 "0" 10013609 238 3.85649999999998 28.3270305070638
81 10006067 10006058 238 468.7695 "0" 10013609 239 3.4128 28.5502567879073
269 10006058 10006054 239 469.1349 "0" 10013609 241 0.365400000000022 28.5742610801478
80 10006058 10006051 240 470.178 "0" 10013609 242 0 28.6428967471557
266 10006054 10006051 241 472.3227 "0" 10013609 242 0.0431999999999562 28.784535766641
79 10006051 10006044 242 475.1451 "0" 10013609 243 2.82240000000002 28.9719989584853
78 10006044 10006041 243 478.2888 "0" 10013609 244 3.14369999999997 29.1822404473122
77 10006041 10006178 244 483.1002 "0" 10013609 245 4.81139999999999 29.5069709961404
76 10006178 10006028 245 486.1467 "0" 10013609 246 3.04650000000004 29.7144509183903
75 10006028 10006029 246 492.7851 "0" 10013609 247 0.0503999999999678 30.1716218987132
74 10006029 10006015 247 539.3979 "0" 10013609 248 15.0543 33.5860650531644
73 10006015 10006002 248 557.0361 "0" 10013609 249 9.31679999999994 34.9765945407397
275 10006002 10006000 249 557.0838 "0" 10013609 251 0.0476999999999634 34.9804320334286
72 10006002 10005998 250 557.1747 "0" 10013609 252 0 34.9877461569091
273 10006000 10005998 251 564.5556 "0" 10013609 252 0.0135000000000218 35.5867707405898
71 10005998 10005993 252 569.8512 "0" 10013609 253 5.29559999999992 36.0228637267506
70 10005993 10005968 253 577.3743 "0" 10013609 254 7.5231 36.6515958509272
69 10005968 10005967 254 769.7565 "0" 10013609 255 0.00360000000000582 57.0504537818396
68 10005967 10005963 255 770.7141 "0" 10013609 256 0.95760000000007 57.1762447404702
67 10005963 10006174 256 776.394 "0" 10013609 257 5.67989999999998 57.9280822750549
66 10006174 10005952 257 786.5334 "0" 10013609 258 1.30140000000006 59.2948763681156
65 10005952 10005949 258 793.602 "0" 10013609 259 0.408599999999979 60.2667583380077
64 10005949 10005948 259 800.5932 "0" 10013609 260 6.99120000000005 61.243666523728
63 10005948 10005947 260 803.8665 "0" 10013609 261 3.27329999999995 61.7064849782452
61 10005947 10006200 261 813.3966 "0" 10013609 262 9.53010000000006 63.0739760397386
62 10006200 10006199 262 815.9895 "1" 10013609 0 2.59289999999999 63.4512522757496
208 10005879 10005888 263 4.0491 "0" 10026653 279 4.0491 9.80418181410311
201 10005916 10005911 264 4.6368 "0" 10026653 266 4.6368 9.817443185448
207 10005872 10005877 265 5.6997 "0" 10026653 269 5.6997 9.84147295474057
200 10005911 10005893 266 8.4519 "0" 10026653 268 3.8151 9.90396765796469
147 10005887 10005885 267 11.2725 "0" 10026653 272 11.2725 9.96842732076208
199 10005893 10005895 268 11.385 "0" 10026653 282 2.9331 9.971006985061
206 10005877 10005881 269 13.5315 "0" 10026653 276 7.8318 10.0203550622588
205 10005913 10005906 270 13.5567 "0" 10026653 271 13.5567 10.0209358588695
204 10005906 10005894 271 17.2395 "0" 10026653 273 3.6828 10.1061781048055
146 10005885 10005876 272 19.7388 "0" 10026653 274 8.4663 10.1644396525779
203 10005894 10006165 273 20.7774 "0" 10026653 275 3.5379 10.1887492863549
145 10005876 10005881 274 21.6702 "0" 10026653 276 1.9314 10.2096927674211
202 10006165 10006163 275 23.3667 "0" 10026653 280 2.5893 10.2496083016809
144 10005881 10005878 276 40.2138 "0" 10026653 277 5.0121 10.6545584109018
143 10005878 10005882 277 44.8983 "0" 10026653 278 4.6845 10.7699750051829
142 10005882 10005888 278 50.1336 "0" 10026653 279 5.2353 10.9004422344947
141 10005888 10006163 279 55.0512 "0" 10026653 280 0.868499999999997 11.0244313347053
140 10006163 10005892 280 85.7106 "0" 10026653 281 7.2927 11.8299027861178
139 10005892 10005895 281 88.7553 "0" 10026653 282 3.04470000000001 11.9130360912845
137 10005895 10006257 282 104.5701 "0" 10026653 283 4.42979999999999 12.3543386662073
138 10006257 10006196 283 104.5962 "0" 10026653 284 0.0260999999999996 12.355080319418
209 10006196 10005896 284 104.5962 "0" 10026653 285 0 12.355080319418
210 10005896 10006170 285 104.6016 "0" 10026653 288 0.00540000000000873 12.3552337704685
136 10006196 10005897 286 106.4358 "0" 10026653 287 0 12.407466399352
135 10005897 10006170 287 106.4466 "0" 10026653 288 0.0108000000000033 12.4077746046452
134 10006170 10006197 288 107.7318 "0" 10026653 289 1.2852 12.4445057512201
133 10006197 10005912 289 110.1699 "0" 10026653 290 2.43809999999999 12.5144859631936
132 10005912 10006231 290 110.3967 "1" 10026653 0 0.226799999999997 12.5210157225953
191 10005884 10005883 291 4.1913 "0" 10017937 315 4.1913 9.80738889423245
194 10005889 10005900 292 5.472 "0" 10017937 295 5.472 9.83632022632491
195 10006167 10005903 293 5.5908 "0" 10017937 301 5.5908 9.83900826968732
171 10005957 10005950 294 7.3809 "0" 10017937 298 7.3809 9.87960123765537
193 10005900 10005902 295 9.576 "0" 10017937 299 4.104 9.92960680289189
189 10006162 10005875 296 13.7349 "0" 10017937 316 13.7349 10.0250438814402
192 10005922 10005923 297 13.8213 "0" 10017937 303 13.8213 10.0270362561161
170 10005950 10005943 298 14.8725 "0" 10017937 300 7.4916 10.0513085537661
162 10005902 10005903 299 16.0344 "0" 10017937 301 6.4584 10.0782052922173
169 10005943 10005923 300 18.9999 "0" 10017937 303 4.1274 10.1471801624684
161 10005903 10005904 301 22.9788 "0" 10017937 302 1.3536 10.2404679866061
160 10005904 10005891 302 30.591 "0" 10017937 304 7.6122 10.421337430917
168 10005923 10005920 303 34.2801 "0" 10017937 305 1.45889999999999 10.51013794986
159 10005891 10005901 304 38.5515 "0" 10017937 306 7.9605 10.6139007168787
167 10005920 10005914 305 41.5458 "0" 10017937 307 7.2657 10.6872497670997
158 10005901 10005905 306 42.1479 "0" 10017937 308 3.5964 10.7020600436855
166 10005914 10005908 307 43.227 "0" 10017937 311 1.6812 10.7286547970759
157 10005905 10005907 308 47.3931 "0" 10017937 309 5.2452 10.8319511934376
156 10005907 10005908 309 50.4108 "0" 10017937 311 3.0177 10.9073941363375
163 10005855 10005856 310 85.0437 "0" 10017937 319 85.0437 11.811771162463
335 10005908 10006166 311 99.7164 "0" 10017937 312 6.07859999999999 12.2171878495737
334 10006166 10006164 312 103.0824 "0" 10017937 313 3.36600000000001 12.3121379425431
155 10006164 10005886 313 107.5635 "0" 10017937 314 4.4811 12.4396895397027
154 10005886 10005883 314 110.1429 "0" 10017937 315 2.57939999999999 12.5137088377453
153 10005883 10005875 315 116.3205 "0" 10017937 316 1.9863 12.6927787626592
152 10005875 10005869 316 135.3528 "0" 10017937 317 5.29740000000001 13.2607364228541
151 10005869 10005860 317 138.9132 "0" 10017937 318 3.56039999999999 13.3697733706636
150 10005860 10005856 318 141.2865 "0" 10017937 319 2.3733 13.4429530290565
149 10005856 10005852 319 226.7163 "0" 10017937 0 0.386099999999999 16.3617054423523
148 10006195 10006250 320 471.2292 "1" 10017937 0 0 28.7122321816398
190 10006254 10006232 321 6.9084 "1" 10089401 0 6.9084 9.86887041292835
197 10006161 10005874 322 11.889 "0" 10070428 323 11.889 9.98257207819102
196 10005874 10006224 323 14.1966 "1" 10070428 0 2.3076 10.0356952301743
198 10005880 10006227 324 3.5559 "1" 10089500 0 3.5559 9.79306664791231
212 10005924 10005933 325 3.2877 "0" 10052966 327 3.2877 9.78702755964737
213 10005925 10005933 326 8.6634 "0" 10052966 327 8.6634 9.90878661502771
211 10005933 10006171 327 14.3226 "0" 10052966 328 2.3715 10.0386039961118
336 10006171 10006232 328 27.3825 "1" 10052966 0 13.0599 10.3447157148912
306 10006083 10006244 329 6.7329 "1" 10070402 0 6.7329 9.86488764726193
310 10006107 10006102 330 4.059 "0" 10052971 331 4.059 9.80440505786463
309 10006102 10006097 331 9.6435 "0" 10052971 332 5.5845 9.93114849401872
311 10006097 10006099 332 9.6966 "0" 10052971 334 0.0531000000000006 9.93236145925251
308 10006097 10006099 333 9.7074 "0" 10052971 334 9.7074 9.93260818217544
307 10006099 10006245 334 10.8018 "1" 10052971 0 1.0944 9.95764124127258
313 10006118 10006119 335 4.2696 "0" 10059937 336 4.2696 9.80915526594658
312 10006119 10006246 336 5.6529 "1" 10059937 0 1.3833 9.84041367560315
350 10033495 10033503 337 5.1966 "0" 10014053 349 5.1966 9.8300916772192
349 10033492 10033491 338 6.6789 "0" 10014053 347 6.6789 9.86366250429909
348 10033468 10033471 339 11.4552 "0" 10014053 340 11.4552 9.97261703382455
